feature_file,scenario,todo_key,trace_key,status,tags
test/acceptance/features/hil_signal_testing.feature,AC5 - Digital signal generation and monitoring,,,ready,@hil @signal_testing @hil @ac5 @digital_signals @hil @ac5 @analog_signals
test/acceptance/features/hil_signal_testing.feature,AC5 - Analog signal generation and ADC monitoring,,,ready,@hil @ac5 @pwm_signals
test/acceptance/features/hil_signal_testing.feature,AC5 - PWM signal generation and monitoring,,,ready,@hil @ac5 @frequency_signals
test/acceptance/features/hil_signal_testing.feature,AC5 - Frequency signal generation,,,ready,@hil @ac5 @uart_communication
test/acceptance/features/hil_signal_testing.feature,AC5 - UART communication testing,,,ready,@hil @ac5 @signal_stability
test/acceptance/features/hil_signal_testing.feature,Signal generation stability and accuracy,,,ready,@hil @ac5 @signal_edge_cases
test/acceptance/features/hil_signal_testing.feature,Signal generation edge cases and limits,,,ready,
test/acceptance/features/control.feature,SC-001 Amplitude control per unit,,,pending,@pending @pending @req-amplitude @prd-5-functional @prd-10-api @reg-40001-40004 @hil @pending @req-startstop @prd-5-functional @prd-10-api @reg-40005-40008 @hil
test/acceptance/features/control.feature,SC-002 Start/Stop per unit,,,pending,@pending @req-overload-reset @prd-5-functional @prd-10-api @reg-40009-40012 @hil
test/acceptance/features/control.feature,SC-003 Overload Reset pulse semantics,,,pending,@pending @req-amplitude-clamp @prd-6-nfr @reg-40001-40004 @hil
test/acceptance/features/ci.feature,SC-025 CI drift check: PRD vs include/config.h,,,ready,@req-ci-drift @prd-17-risk @hil
test/acceptance/features/hal.feature,HAL basic acceptance,,,pending,@hal @implemented @pending
test/acceptance/features/hal.feature,HAL advanced acceptance (pending implementation),,,ready,
test/acceptance/features/modbus_conformance.feature,MODBUS protocol conformance (FC03/FC06/FC16 basics),modbus-rtu-conformance,modbus-interface,pending,@modbus @documentation @trace:modbus-interface @pending @hil @TODO:modbus-rtu-conformance @trace:modbus-conformance @pending @hil @TODO:modbus-performance @trace:modbus-performance
